precinct,cluster,n_2019,n_2024,abs_change,pct_change
44,2,123.0,84.0,-39.0,-31.7
44,3,194.0,332.0,138.0,71.1
45,1,1328.0,2202.0,874.0,65.8
45,2,66.0,57.0,-9.0,-13.6
45,3,110.0,191.0,81.0,73.6
46,1,2386.0,3441.0,1055.0,44.2
46,2,92.0,52.0,-40.0,-43.5
46,3,215.0,261.0,46.0,21.4
47,1,2314.0,4002.0,1688.0,72.9
47,2,107.0,126.0,19.0,17.8
47,3,273.0,289.0,16.0,5.9
48,1,1816.0,2951.0,1135.0,62.5
48,2,79.0,61.0,-18.0,-22.8
48,3,183.0,338.0,155.0,84.7
49,1,1463.0,2814.0,1351.0,92.3
49,2,58.0,62.0,4.0,6.9
49,3,148.0,197.0,49.0,33.1
5,1,1132.0,1708.0,576.0,50.9
5,2,64.0,58.0,-6.0,-9.4
5,3,119.0,160.0,41.0,34.5
50,1,1058.0,1891.0,833.0,78.7
50,2,46.0,49.0,3.0,6.5
50,3,111.0,162.0,51.0,45.9
52,1,2663.0,3578.0,915.0,34.4
52,2,91.0,83.0,-8.0,-8.8
52,3,198.0,225.0,27.0,13.6
6,1,1735.0,1965.0,230.0,13.3
6,2,63.0,49.0,-14.0,-22.2
6,3,143.0,253.0,110.0,76.9
60,1,1539.0,2119.0,580.0,37.7
60,2,60.0,57.0,-3.0,-5.0
60,3,110.0,124.0,14.0,12.7
61,1,1512.0,1991.0,479.0,31.7
61,2,93.0,71.0,-22.0,-23.7
61,3,151.0,185.0,34.0,22.5
62,1,1322.0,1881.0,559.0,42.3
62,2,74.0,58.0,-16.0,-21.6
62,3,173.0,137.0,-36.0,-20.8
63,1,1189.0,1505.0,316.0,26.6
63,2,61.0,53.0,-8.0,-13.1
63,3,101.0,81.0,-20.0,-19.8
66,1,1130.0,1456.0,326.0,28.8
66,2,72.0,41.0,-31.0,-43.1
66,3,167.0,136.0,-31.0,-18.6
67,1,2619.0,3353.0,734.0,28.0
67,2,116.0,103.0,-13.0,-11.2
67,3,182.0,218.0,36.0,19.8
68,1,1263.0,1238.0,-25.0,-2.0
68,2,66.0,46.0,-20.0,-30.3
68,3,111.0,98.0,-13.0,-11.7
69,1,1005.0,1290.0,285.0,28.4
69,2,58.0,58.0,0.0,0.0
69,3,73.0,53.0,-20.0,-27.4
7,1,1160.0,1423.0,263.0,22.7
7,2,55.0,32.0,-23.0,-41.8
7,3,100.0,115.0,15.0,15.0
70,1,1824.0,2277.0,453.0,24.8
70,2,139.0,63.0,-76.0,-54.7
70,3,147.0,116.0,-31.0,-21.1
71,1,1613.0,1443.0,-170.0,-10.5
71,2,83.0,49.0,-34.0,-41.0
71,3,136.0,84.0,-52.0,-38.2
72,1,1524.0,1744.0,220.0,14.4
72,2,89.0,54.0,-35.0,-39.3
72,3,162.0,172.0,10.0,6.2
73,1,2593.0,2912.0,319.0,12.3
73,2,108.0,119.0,11.0,10.2
73,3,189.0,178.0,-11.0,-5.8
75,1,4624.0,5295.0,671.0,14.5
75,2,189.0,185.0,-4.0,-2.1
75,3,516.0,305.0,-211.0,-40.9
76,1,741.0,878.0,137.0,18.5
76,2,40.0,22.0,-18.0,-45.0
76,3,69.0,91.0,22.0,31.9
77,1,1640.0,1756.0,116.0,7.1
77,2,82.0,59.0,-23.0,-28.0
77,3,152.0,161.0,9.0,5.9
78,1,935.0,1180.0,245.0,26.2
78,2,67.0,33.0,-34.0,-50.7
78,3,108.0,146.0,38.0,35.2
79,1,2088.0,2177.0,89.0,4.3
79,2,64.0,71.0,7.0,10.9
79,3,282.0,211.0,-71.0,-25.2
81,1,1594.0,1441.0,-153.0,-9.6
81,2,73.0,54.0,-19.0,-26.0
81,3,230.0,99.0,-131.0,-57.0
83,1,1760.0,2292.0,532.0,30.2
83,2,106.0,70.0,-36.0,-34.0
83,3,267.0,211.0,-56.0,-21.0
84,1,1427.0,2062.0,635.0,44.5
84,2,70.0,34.0,-36.0,-51.4
84,3,112.0,249.0,137.0,122.3
88,1,1109.0,1083.0,-26.0,-2.3
88,2,84.0,23.0,-61.0,-72.6
88,3,129.0,158.0,29.0,22.5
9,1,1332.0,1503.0,171.0,12.8
9,2,73.0,42.0,-31.0,-42.5
9,3,134.0,178.0,44.0,32.8
90,1,1918.0,1954.0,36.0,1.9
90,2,83.0,61.0,-22.0,-26.5
90,3,221.0,309.0,88.0,39.8
94,1,930.0,1298.0,368.0,39.6
94,2,62.0,45.0,-17.0,-27.4
94,3,116.0,150.0,34.0,29.3
