month,avg_complaints,sd_complaints,n_years
1,41187.0,6943.788591251897,2
2,37689.0,8107.686353084954,2
3,41416.0,6932.474882752912,2
4,40881.0,6228.196528691111,2
5,45055.0,6750.041333206783,2
6,44741.5,6640.439782122868,2
7,46443.5,5619.377590089493,2
8,45377.0,6068.3903961429505,2
9,44351.5,5504.8262915372725,2
10,45272.0,7522.201938262492,2
11,42157.5,7138.2429560781975,2
12,40621.5,5332.292236927755,2
