incident_address,n
62 AVENUE,288
170 HAWTHORNE STREET,287
660 NEREID AVENUE,287
222 BEDFORD PARK BOULEVARD,287
214 ROCKAWAY PARKWAY,287
2501 NOSTRAND AVENUE,287
3864 WHITE PLAINS ROAD,287
350 WEST   24 STREET,287
31 STREET,287
5421 BEVERLY ROAD,287
26 EAST   60 STREET,287
ROOSEVELT AVENUE,287
888 GRAND CONCOURSE,287
60 ST NICHOLAS AVENUE,287
330 WEST   95 STREET,286
180 EAST  163 STREET,286
108 ELLWOOD STREET,286
72-15 41 AVENUE,286
270 CLARKSON AVENUE,286
MANHATTAN AVENUE,286
600 WEST  192 STREET,285
700 ESPLANADE GDNS PLAZA,285
446 WEST   58 STREET,285
150 EAST   19 STREET,285
679 OCEAN PARKWAY,285
41-02 COLLEGE POINT BOULEVARD,285
202 EAST   21 STREET,285
240 EAST  175 STREET,285
552 FLATBUSH AVENUE,284
2000 ANTHONY AVENUE,284
44-19 ROCKAWAY BEACH BOULEVARD,284
2394 7 AVENUE,284
600 WEST  139 STREET,284
54 STONE STREET,284
1-50 50 AVENUE,283
2095 GRAND CONCOURSE,283
165 ROCKAWAY PARKWAY,283
35-16 34 STREET,283
102-45 62 ROAD,283
2454 TIEBOUT AVENUE,283
EAST  174 STREET,283
1775 DAVIDSON AVENUE,283
FRONT STREET,283
1460 WASHINGTON AVENUE,283
891 DRIGGS AVENUE,282
2446 LYVERE STREET,282
55 LENOX ROAD,282
1550 INWOOD AVENUE,282
250 EAST GUN HILL ROAD,282
1571 UNDERCLIFF AVENUE,282
69 ST NICHOLAS PLACE,281
EAST   33 STREET,281
3045 GODWIN TERRACE,281
2970 OCEAN AVENUE,281
210P WEST  153 STREET,281
40-26 BENHAM STREET,281
AVENUE H,280
3336 PERRY AVENUE,280
926 AMSTERDAM AVENUE,280
1500 GRAND CONCOURSE,280
672 POWELL STREET,280
125 MT HOPE PLACE,280
89-29 163 STREET,280
2886 BRIGGS AVENUE,280
503 WEST  139 STREET,279
